quality,bits,intra_parts,skip_parts,inter_16x16_parts,inter_4x4_parts,inter_other_parts,non_zero_pixels,frame_width,frame_height,movement_level,mean,sub_mean_1,sub_mean_2,sub_mean_3,sub_mean_4,var_sub_blocks,sobel_h,sobel_v,variance,block_movement_h,block_movement_v,var_movement_h,var_movement_v,cost_1,cost_2,relevant
22,593,0,1,0,3,9,121,416,240,42352,1.631836,0.000000,4.945312,1.000000,0.582031,3.785830,5.233398,5.336914,20.675980,0.593750,0.562500,0.991211,0.527344,5112.000000,10890.000000,1
22,588,0,1,1,9,3,132,416,240,42352,1.767578,0.000000,0.828125,1.015625,5.226562,4.134228,4.435547,5.179688,17.254574,0.468750,0.593750,0.499023,0.616211,2717.000000,7798.000000,1
22,1434,0,0,0,21,13,301,416,240,42352,3.766602,1.765625,1.906250,7.632812,3.761719,5.603106,8.791992,10.918945,38.749237,0.875000,0.429688,1.515625,0.620056,14088.000000,16155.000000,1
22,1957,0,0,1,15,11,363,416,240,52731,5.358398,6.679688,3.882812,4.785156,6.085938,1.195270,16.277344,12.935547,50.747528,2.750000,2.312500,16.968750,11.214844,4713.000000,4189.000000,1
22,1646,0,1,1,6,9,347,416,240,52731,4.505859,3.140625,3.546875,6.628906,4.707031,1.832829,11.827148,12.297852,38.197231,1.867188,2.093750,8.505798,10.444336,9857.000000,9984.000000,1
22,1952,0,0,0,12,15,397,416,240,52731,5.252930,4.726562,3.855469,5.960938,6.468750,1.052363,12.965820,12.237305,58.216301,1.968750,3.210938,4.530273,12.697693,5542.000000,5753.000000,1
22,2867,0,0,0,9,24,469,416,240,52731,10.329102,10.406250,11.007812,9.269531,10.632812,0.420379,25.507812,38.992188,366.322357,10.734375,7.273438,1105.741943,176.651794,20290.000000,19569.000000,1
22,824,0,0,1,6,6,121,416,240,52731,1.739258,4.628906,0.714844,0.230469,1.382812,2.950747,5.441406,6.921875,28.608772,2.546875,6.140625,36.716553,118.073975,16654.000000,16112.000000,1
22,857,0,1,1,6,6,163,416,240,52731,2.270508,1.605469,2.289062,1.390625,3.796875,0.886653,5.955078,7.294922,15.541083,0.515625,3.468750,0.499756,20.405273,16385.000000,17407.000000,1
22,693,0,0,1,15,7,104,416,240,52731,2.100586,0.617188,1.050781,1.523438,5.210938,3.327487,3.500000,6.933594,98.940079,1.093750,3.359375,2.928711,29.636475,7104.000000,10271.000000,1
22,1454,0,0,1,0,15,303,416,240,52731,4.220703,6.003906,4.828125,1.726562,4.324219,2.445057,10.581055,10.895508,41.386837,4.109375,2.812500,16.628662,8.246094,18893.000000,20409.000000,1
22,697,0,0,3,9,1,148,416,240,52731,1.808594,0.269531,2.304688,0.000000,4.660156,3.504311,5.775391,5.339844,13.955551,3.328125,3.031250,16.236084,14.186523,11773.000000,11968.000000,1
22,499,0,1,0,0,6,112,416,240,52731,1.237305,1.628906,3.320312,0.000000,0.000000,1.888530,3.452148,4.227539,15.837241,1.500000,1.937500,3.000000,4.933594,17596.000000,17533.000000,0
22,43,0,1,3,0,0,0,416,240,52731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.375000,2.625000,3.734375,13.234375,2238.000000,2342.000000,1
22,394,0,0,3,0,2,75,416,240,52731,0.902344,1.996094,0.000000,1.613281,0.000000,0.832542,3.385742,2.856445,5.582260,0.812500,3.437500,0.777344,6.871094,9366.000000,9779.000000,1
22,1296,0,0,1,3,9,284,416,240,52731,3.694336,4.812500,4.089844,2.406250,3.468750,0.779193,10.137695,11.409180,24.052078,0.625000,3.000000,0.484375,5.250000,12663.000000,12813.000000,1
22,1059,0,0,1,3,8,205,416,240,52731,2.721680,2.316406,3.820312,2.566406,2.183594,0.421222,7.594727,8.026367,14.200858,1.921875,3.906250,2.915771,12.866211,18356.000000,14704.000000,1
22,972,0,0,0,18,6,199,416,240,52731,2.729492,6.070312,2.050781,2.796875,0.000000,4.769099,8.512695,7.541992,54.199287,3.210938,1.312500,16.947693,3.542969,13469.000000,14217.000000,1
22,1169,0,0,1,18,6,254,416,240,52731,3.224609,2.011719,0.718750,4.328125,5.839844,3.951908,9.107422,9.751953,24.150723,2.929688,1.593750,16.737244,4.897461,5569.000000,6166.000000,1
22,737,0,0,0,6,13,103,416,240,52731,1.458984,1.109375,1.917969,0.000000,2.808594,1.070744,4.759766,5.185547,11.603786,3.867188,4.492188,30.427673,140.046814,4548.000000,4893.000000,1
22,521,0,0,2,9,7,97,416,240,52731,1.317383,0.000000,0.000000,2.992188,2.277344,1.799373,3.895508,4.541992,11.589698,1.500000,2.070312,3.687500,7.034119,11865.000000,12940.000000,1
22,1609,0,0,0,12,17,361,416,240,52731,4.741211,3.722656,5.515625,4.144531,5.582031,0.675044,13.284180,13.561523,30.369553,0.265625,1.257812,0.195068,3.191345,8301.000000,8179.000000,1
22,697,0,0,0,3,16,124,416,240,52731,1.432617,1.105469,1.511719,2.660156,0.453125,0.644885,5.095703,5.242188,8.317725,0.781250,1.710938,1.295898,4.174255,12184.000000,12992.000000,1
